etf_ticker,etf_name,holding_ticker,market_data_symbol,holding_name,holding_percent,universe_source
IVV,iShares Core S&P 500 ETF,NVDA,NVDA,NVIDIA Corp,0.0750593,Major ETF holdings
IVV,iShares Core S&P 500 ETF,AAPL,AAPL,Apple Inc,0.0658228,Major ETF holdings
IVV,iShares Core S&P 500 ETF,MSFT,MSFT,Microsoft Corp,0.0429165,Major ETF holdings
IVV,iShares Core S&P 500 ETF,AMZN,AMZN,Amazon.com Inc,0.036135003,Major ETF holdings
IVV,iShares Core S&P 500 ETF,GOOGL,GOOGL,Alphabet Inc Class A,0.0324549,Major ETF holdings
IVV,iShares Core S&P 500 ETF,AVGO,AVGO,Broadcom Inc,0.0277005,Major ETF holdings
IVV,iShares Core S&P 500 ETF,GOOG,GOOG,Alphabet Inc Class C,0.0258645,Major ETF holdings
IVV,iShares Core S&P 500 ETF,MU,MU,Micron Technology Inc,0.020162798,Major ETF holdings
IVV,iShares Core S&P 500 ETF,META,META,Meta Platforms Inc Class A,0.0191593,Major ETF holdings
IVV,iShares Core S&P 500 ETF,TSLA,TSLA,Tesla Inc,0.0183393,Major ETF holdings
QUAL,iShares MSCI USA Quality Factor ETF,AAPL,AAPL,Apple Inc,0.0620256,Major ETF holdings
QUAL,iShares MSCI USA Quality Factor ETF,NVDA,NVDA,NVIDIA Corp,0.058124598,Major ETF holdings
QUAL,iShares MSCI USA Quality Factor ETF,MSFT,MSFT,Microsoft Corp,0.057268903,Major ETF holdings
QUAL,iShares MSCI USA Quality Factor ETF,LRCX,LRCX,Lam Research Corp,0.0514606,Major ETF holdings
QUAL,iShares MSCI USA Quality Factor ETF,AMAT,AMAT,Applied Materials Inc,0.0440598,Major ETF holdings
QUAL,iShares MSCI USA Quality Factor ETF,KLAC,KLAC,KLA Corp,0.0406942,Major ETF holdings
QUAL,iShares MSCI USA Quality Factor ETF,TJX,TJX,TJX Companies Inc,0.0381633,Major ETF holdings
QUAL,iShares MSCI USA Quality Factor ETF,LLY,LLY,Eli Lilly and Co,0.0381069,Major ETF holdings
QUAL,iShares MSCI USA Quality Factor ETF,META,META,Meta Platforms Inc Class A,0.0371803,Major ETF holdings
QUAL,iShares MSCI USA Quality Factor ETF,V,V,Visa Inc Class A,0.0295669,Major ETF holdings
SCHD,Schwab U.S. Dividend Equity ETF,MRK,MRK,Merck & Co Inc,0.0452253,Major ETF holdings
SCHD,Schwab U.S. Dividend Equity ETF,HD,HD,The Home Depot Inc,0.0449411,Major ETF holdings
SCHD,Schwab U.S. Dividend Equity ETF,UNH,UNH,UnitedHealth Group Inc,0.0446472,Major ETF holdings
SCHD,Schwab U.S. Dividend Equity ETF,AMGN,AMGN,Amgen Inc,0.0427407,Major ETF holdings
SCHD,Schwab U.S. Dividend Equity ETF,ABT,ABT,Abbott Laboratories,0.0426541,Major ETF holdings
SCHD,Schwab U.S. Dividend Equity ETF,PG,PG,Procter & Gamble Co,0.0424562,Major ETF holdings
SCHD,Schwab U.S. Dividend Equity ETF,KO,KO,Coca-Cola Co,0.0420741,Major ETF holdings
SCHD,Schwab U.S. Dividend Equity ETF,PEP,PEP,PepsiCo Inc,0.039008,Major ETF holdings
