Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,Namount
8/10/20,8/10/20,8/10/20,TSLA,Tesla\nCUSIP: 88160R101,REC,1,,,$0.00
8/15/20,8/15/20,8/15/20,,ACH Deposit,ACH,,,$740.00,$0.00
8/17/20,8/17/20,8/19/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,0.417384,$186.70,($77.93),$77.93
8/18/20,8/18/20,8/20/20,AMZN,Amazon\nCUSIP: 023135106,Buy,0.690054,$96.18,($66.37),$66.37
8/19/20,8/19/20,8/21/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.471,$294.07,($138.51),$138.51
8/20/20,8/20/20,8/22/20,AAPL,Apple\nCUSIP: 037833100,Buy,0.612835,$119.69,($73.35),$73.35
8/21/20,8/21/20,8/23/20,TSLA,Tesla\nCUSIP: 88160R101,Sell,0.145973,$181.43,$26.48,$26.48
8/24/20,8/24/20,8/26/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,0.487797,$158.24,($77.19),$77.19
8/24/20,8/24/20,8/26/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Sell,0.2961,$287.41,$85.10,$85.10
8/25/20,8/25/20,8/27/20,AMZN,Amazon\nCUSIP: 023135106,Buy,0.684836,$97.22,($66.58),$66.58
8/25/20,8/25/20,8/27/20,AMZN,Amazon\nCUSIP: 023135106,Sell,0.591436,$99.33,$58.75,$58.75
8/26/20,8/26/20,8/28/20,AMZN,Amazon\nCUSIP: 023135106,Buy,0.813371,$97.36,($79.19),$79.19
8/26/20,8/26/20,8/28/20,AMZN,Amazon\nCUSIP: 023135106,Sell,0.356983,$95.20,$33.98,$33.98
8/27/20,8/27/20,8/29/20,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,0.503468,$137.86,($69.41),$69.41
8/27/20,8/27/20,8/27/20,NVDA,Cash Div: R/D 2020-08-27 P/D 2020-08-27 - 0.503468 shares at 0.0397,CDIV,,,$0.02,$0.00
8/28/20,8/28/20,8/28/20,,Interest Payment,INT,,,$0.04,$0.00
8/31/20,8/31/20,9/2/20,AAPL,Apple\nCUSIP: 037833100,Buy,0.676037,$121.53,($82.16),$82.16
8/31/20,8/31/20,8/31/20,AAPL,Apple\nCUSIP: 037833100,SPL,3.866616,,,$0.00
9/1/20,9/1/20,9/1/20,,ACH Deposit,ACH,,,$964.00,$0.00
9/1/20,9/1/20,9/3/20,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,1.591478,$138.68,($220.71),$220.71
9/1/20,9/1/20,9/3/20,NVDA,NVIDIA\nCUSIP: 67066G104,Sell,0.633938,$142.01,$90.03,$90.03
9/2/20,9/2/20,9/4/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,1.155762,$190.52,($220.20),$220.20
9/2/20,9/2/20,9/4/20,TSLA,Tesla\nCUSIP: 88160R101,Sell,0.933643,$184.98,$172.71,$172.71
9/3/20,9/3/20,9/5/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,0.6953,$190.76,($132.64),$132.64
