Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,Namount
8/10/20,8/10/20,8/10/20,NVDA,NVIDIA\nCUSIP: 67066G104,REC,1,,,$0.00
8/15/20,8/15/20,8/15/20,,ACH Deposit,ACH,,,"$1,198.00",$0.00
8/17/20,8/17/20,8/19/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,4.541372,$85.89,($390.06),$390.06
8/19/20,8/19/20,8/21/20,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,1.869829,$136.52,($255.27),$255.27
8/21/20,8/21/20,8/23/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,1.989837,$86.40,($171.92),$171.92
8/24/20,8/24/20,8/26/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,0.598929,$158.24,($94.77),$94.77
8/26/20,8/26/20,8/28/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,0.585797,$158.70,($92.97),$92.97
8/28/20,8/28/20,8/30/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,0.401273,$189.35,($75.98),$75.98
8/28/20,8/28/20,8/28/20,,Interest Payment,INT,,,$0.02,$0.00
9/1/20,9/1/20,9/1/20,,ACH Deposit,ACH,,,"$1,757.00",$0.00
9/2/20,9/2/20,9/4/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,2.064836,$190.52,($393.39),$393.39
9/4/20,9/4/20,9/6/20,AVGO,Broadcom\nCUSIP: 11135F101,Buy,1.072577,$496.27,($532.29),$532.29
9/7/20,9/7/20,9/9/20,TSLA,Tesla\nCUSIP: 88160R101,Buy,1.455687,$191.67,($279.01),$279.01
9/9/20,9/9/20,9/11/20,AVGO,Broadcom\nCUSIP: 11135F101,Buy,0.243638,$499.36,($121.66),$121.66
9/11/20,9/11/20,9/13/20,META,Meta Platforms\nCUSIP: 30303M102,Buy,0.922472,$162.26,($149.68),$149.68
9/12/20,9/12/20,9/12/20,NVDA,Cash Div: R/D 2020-09-12 P/D 2020-09-12 - 1.869829 shares at 0.0321,CDIV,,,$0.06,$0.00
9/14/20,9/14/20,9/16/20,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,0.535726,$140.69,($75.37),$75.37
9/15/20,9/15/20,9/15/20,,ACH Deposit,ACH,,,$934.00,$0.00
9/16/20,9/16/20,9/18/20,AAPL,Apple\nCUSIP: 037833100,Buy,2.93042,$124.05,($363.52),$363.52
9/18/20,9/18/20,9/20/20,GOOGL,Alphabet Class A\nCUSIP: 02079K305,Buy,4.99146,$75.52,($376.96),$376.96
9/21/20,9/21/20,9/23/20,GOOGL,Alphabet Class A\nCUSIP: 02079K305,Buy,2.165616,$75.76,($164.07),$164.07
9/23/20,9/23/20,9/25/20,NVDA,NVIDIA\nCUSIP: 67066G104,Buy,0.801956,$141.95,($113.84),$113.84
9/25/20,9/25/20,9/27/20,AMD,Advanced Micro Devices\nCUSIP: 007903107,Buy,0.520667,$90.54,($47.14),$47.14
9/28/20,9/28/20,9/30/20,AVGO,Broadcom\nCUSIP: 11135F101,Buy,0.129213,$510.01,($65.90),$65.90
