Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,Namount
8/10/20,8/10/20,8/10/20,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,REC,1,,,$0.00
8/15/20,8/15/20,8/15/20,,ACH Deposit,ACH,,,$532.00,$0.00
8/17/20,8/17/20,8/19/20,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.823753,$333.32,($274.57),$274.57
8/18/20,8/18/20,8/20/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.827183,$293.62,($242.88),$242.88
8/28/20,8/28/20,8/28/20,,Interest Payment,INT,,,$0.01,$0.00
9/1/20,9/1/20,9/1/20,,ACH Deposit,ACH,,,$661.00,$0.00
9/1/20,9/1/20,9/3/20,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,1.922337,$340.34,($654.25),$654.25
9/15/20,9/15/20,9/15/20,,ACH Deposit,ACH,,,"$1,056.00",$0.00
9/15/20,9/15/20,9/17/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,3.011298,$305.82,($920.92),$920.92
9/16/20,9/16/20,9/18/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.444672,$306.23,($136.17),$136.17
9/27/20,9/27/20,9/27/20,VOO,Cash Div: R/D 2020-09-27 P/D 2020-09-27 - 2.746090 shares at 0.9905,CDIV,,,$2.72,$0.00
9/28/20,9/28/20,9/28/20,,Interest Payment,INT,,,$0.01,$0.00
10/1/20,10/1/20,10/1/20,,ACH Deposit,ACH,,,"$1,135.00",$0.00
10/1/20,10/1/20,10/3/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,3.31129,$311.94,"($1,032.92)","$1,032.92"
10/2/20,10/2/20,10/4/20,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.318913,$353.11,($112.61),$112.61
10/15/20,10/15/20,10/15/20,,ACH Deposit,ACH,,,"$1,314.00",$0.00
10/15/20,10/15/20,10/17/20,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,3.294015,$357.29,"($1,176.92)","$1,176.92"
10/16/20,10/16/20,10/18/20,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,0.41311,$357.58,($147.72),$147.72
10/28/20,10/28/20,10/28/20,,Interest Payment,INT,,,$0.01,$0.00
11/1/20,11/1/20,11/1/20,,ACH Deposit,ACH,,,"$1,322.00",$0.00
11/2/20,11/2/20,11/4/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,4.12184,$321.02,"($1,323.19)","$1,323.19"
11/15/20,11/15/20,11/15/20,,ACH Deposit,ACH,,,"$1,274.00",$0.00
11/16/20,11/16/20,11/18/20,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,3.497965,$363.84,"($1,272.70)","$1,272.70"
11/28/20,11/28/20,11/28/20,,Interest Payment,INT,,,$0.01,$0.00
12/1/20,12/1/20,12/1/20,,ACH Deposit,ACH,,,"$1,244.00",$0.00
12/1/20,12/1/20,12/3/20,VOO,Vanguard S&P 500 ETF\nCUSIP: 922908363,Buy,3.229768,$365.14,"($1,179.32)","$1,179.32"
12/15/20,12/15/20,12/15/20,,ACH Deposit,ACH,,,$776.00,$0.00
12/15/20,12/15/20,12/17/20,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,5.379445,$62.04,($333.74),$333.74
12/16/20,12/16/20,12/18/20,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,1.496756,$326.24,($488.30),$488.30
12/27/20,12/27/20,12/27/20,SCHD,Cash Div: R/D 2020-12-27 P/D 2020-12-27 - 5.379445 shares at 0.4629,CDIV,,,$2.49,$0.00
12/27/20,12/27/20,12/27/20,VOO,Cash Div: R/D 2020-12-27 P/D 2020-12-27 - 13.499861 shares at 0.9896,CDIV,,,$13.36,$0.00
12/28/20,12/28/20,12/28/20,,Interest Payment,INT,,,$0.01,$0.00
1/1/21,1/1/21,1/1/21,,ACH Deposit,ACH,,,"$1,478.00",$0.00
1/1/21,1/1/21,1/3/21,SCHD,Schwab US Dividend Equity ETF\nCUSIP: 808524797,Buy,20.896243,$62.02,"($1,295.98)","$1,295.98"
1/4/21,1/4/21,1/6/21,QQQ,Invesco QQQ Trust\nCUSIP: 46090E103,Buy,0.591779,$326.81,($193.40),$193.40
